1619607333.857736, 	 reno wscale:8,9 rto:236 rtt:32.557/1.522 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:29 ssthresh:17 bytes_sent:779024 bytes_retrans:56472 bytes_acked:680561 segs_out:540 segs_in:260 data_segs_out:538 send 10.3Mbps lastrcv:604 pacing_rate 12.4Mbps delivery_rate 9.4Mbps delivered:471 busy:604ms unacked:29 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:569064 minrtt:20.688
1619607333.871933, 	 reno wscale:8,9 rto:236 rtt:33.462/1.407 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:29 ssthresh:17 bytes_sent:793504 bytes_retrans:56472 bytes_acked:695041 segs_out:550 segs_in:265 data_segs_out:548 send 10.0Mbps lastrcv:616 pacing_rate 12.0Mbps delivery_rate 9.2Mbps delivered:481 busy:616ms unacked:29 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:554584 minrtt:20.688
1619607333.885807, 	 reno wscale:8,9 rto:236 rtt:34.256/1.065 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:30 ssthresh:17 bytes_sent:812328 bytes_retrans:56472 bytes_acked:713865 segs_out:563 segs_in:272 data_segs_out:561 send 10.1Mbps lastsnd:4 lastrcv:632 lastack:4 pacing_rate 12.2Mbps delivery_rate 9.5Mbps delivered:494 busy:632ms unacked:29 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:535760 minrtt:20.688
1619607333.901307, 	 reno wscale:8,9 rto:236 rtt:34.686/0.655 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:30 ssthresh:17 bytes_sent:829704 bytes_retrans:56472 bytes_acked:731241 segs_out:575 segs_in:278 data_segs_out:573 send 10.0Mbps lastsnd:4 lastrcv:648 lastack:4 pacing_rate 12.0Mbps delivery_rate 9.6Mbps delivered:506 busy:648ms unacked:29 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:518384 minrtt:20.688
1619607333.915327, 	 reno wscale:8,9 rto:236 rtt:34.946/0.534 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:30 ssthresh:17 bytes_sent:849976 bytes_retrans:56472 bytes_acked:750065 segs_out:589 segs_in:285 data_segs_out:587 send 9.9Mbps lastrcv:660 pacing_rate 11.9Mbps delivery_rate 9.5Mbps delivered:519 busy:660ms unacked:30 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:563272 minrtt:20.688
1619607333.929448, 	 reno wscale:8,9 rto:236 rtt:35.134/0.579 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:31 ssthresh:17 bytes_sent:864456 bytes_retrans:56472 bytes_acked:764545 segs_out:599 segs_in:290 data_segs_out:597 send 10.2Mbps lastsnd:4 lastrcv:676 lastack:4 pacing_rate 12.3Mbps delivery_rate 9.5Mbps delivered:529 busy:676ms unacked:30 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:548792 minrtt:20.688
1619607333.943736, 	 reno wscale:8,9 rto:236 rtt:35.374/0.757 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:31 ssthresh:17 bytes_sent:881832 bytes_retrans:56472 bytes_acked:781921 segs_out:611 segs_in:296 data_segs_out:609 send 10.2Mbps lastrcv:688 pacing_rate 12.2Mbps delivery_rate 9.6Mbps delivered:541 busy:688ms unacked:30 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:531416 minrtt:20.688
1619607333.957287, 	 reno wscale:8,9 rto:236 rtt:35.51/0.705 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:32 ssthresh:17 bytes_sent:900656 bytes_retrans:56472 bytes_acked:799297 segs_out:624 segs_in:302 data_segs_out:622 send 10.4Mbps lastrcv:700 pacing_rate 12.5Mbps delivery_rate 9.7Mbps delivered:553 busy:700ms unacked:31 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:512592 minrtt:20.688
1619607333.971943, 	 reno wscale:8,9 rto:236 rtt:35.776/0.798 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:32 ssthresh:17 bytes_sent:918032 bytes_retrans:56472 bytes_acked:816673 segs_out:636 segs_in:308 data_segs_out:634 send 10.4Mbps lastrcv:716 pacing_rate 12.4Mbps delivery_rate 9.8Mbps delivered:565 busy:716ms unacked:31 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:560376 minrtt:20.688
1619607333.986391, 	 reno wscale:8,9 rto:236 rtt:35.966/0.681 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:32 ssthresh:17 bytes_sent:935408 bytes_retrans:56472 bytes_acked:834049 segs_out:648 segs_in:314 data_segs_out:646 send 10.3Mbps lastrcv:732 pacing_rate 12.4Mbps delivery_rate 9.4Mbps delivered:577 busy:732ms unacked:31 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:543000 minrtt:20.688
