time	qlen
1619575825.014998	90.0
1619575825.029423	91.0
1619575825.042969	89.0
1619575825.05679	91.0
1619575825.070878	91.0
1619575825.085638	90.0
1619575825.100001	90.0
1619575825.114131	91.0
1619575825.129091	91.0
1619575825.142823	89.0
1619575825.157551	89.0
1619575825.17195	90.0
1619575825.185582	91.0
1619575825.199296	91.0
1619575825.212426	90.0
1619575825.226453	91.0
1619575825.241199	92.0
1619575825.255319	91.0
1619575825.269263	91.0
1619575825.283364	90.0
1619575825.297864	90.0
1619575825.311897	91.0
1619575825.326453	91.0
1619575825.340799	91.0
1619575825.35529	90.0
1619575825.368241	92.0
1619575825.382246	92.0
1619575825.396552	91.0
1619575825.410644	90.0
1619575825.424419	91.0
1619575825.437962	90.0
1619575825.452209	92.0
1619575825.466196	91.0
1619575825.480673	91.0
1619575825.49449	91.0
1619575825.507567	91.0
1619575825.522081	90.0
1619575825.535718	92.0
1619575825.54972	91.0
1619575825.563337	92.0
1619575825.576819	92.0
1619575825.590843	92.0
1619575825.60448	91.0
1619575825.617983	93.0
1619575825.630591	93.0
1619575825.643722	92.0
1619575825.657222	93.0
1619575825.670963	92.0
1619575825.685196	92.0
1619575825.699034	92.0
1619575825.712853	93.0
1619575825.726407	93.0
1619575825.740563	92.0
1619575825.754509	91.0
1619575825.768432	92.0
1619575825.78262	91.0
1619575825.795864	90.0
1619575825.809898	91.0
1619575825.824058	92.0
1619575825.837604	91.0
1619575825.852371	91.0
1619575825.866959	92.0
1619575825.880923	92.0
1619575825.89543	92.0
1619575825.908972	93.0
1619575825.923197	93.0
1619575825.937416	92.0
1619575825.952828	93.0
1619575825.966631	93.0
1619575825.980869	92.0
1619575825.994717	93.0
1619575826.008354	93.0
1619575826.021825	93.0
1619575826.035844	92.0
1619575826.049526	92.0
1619575826.063626	93.0
1619575826.077649	93.0
1619575826.092422	92.0
1619575826.107213	91.0
1619575826.120867	93.0
1619575826.134606	92.0
1619575826.148368	93.0
1619575826.162956	93.0
1619575826.17632	92.0
1619575826.190508	92.0
1619575826.203917	94.0
1619575826.216866	94.0
1619575826.231434	92.0
1619575826.245405	94.0
1619575826.259542	94.0
1619575826.273399	94.0
1619575826.286796	93.0
1619575826.299656	93.0
1619575826.312214	94.0
1619575826.326241	94.0
1619575826.340074	93.0
1619575826.354055	94.0
1619575826.367651	95.0
1619575826.382683	94.0
1619575826.396721	94.0
1619575826.411561	94.0
1619575826.425681	93.0
1619575826.440577	93.0
1619575826.45503	93.0
1619575826.469579	93.0
1619575826.484056	93.0
1619575826.498667	93.0
1619575826.511903	93.0
1619575826.525827	92.0
1619575826.53977	95.0
1619575826.553078	94.0
1619575826.567486	94.0
1619575826.581123	94.0
1619575826.594673	94.0
1619575826.60874	93.0
1619575826.622183	95.0
1619575826.636225	94.0
1619575826.649748	94.0
1619575826.664207	95.0
1619575826.678353	95.0
1619575826.692689	95.0
1619575826.706652	94.0
1619575826.721045	95.0
1619575826.735147	95.0
1619575826.749755	95.0
1619575826.763743	93.0
1619575826.777364	93.0
1619575826.790962	94.0
1619575826.804776	93.0
1619575826.81839	93.0
1619575826.831892	95.0
1619575826.845905	93.0
1619575826.859897	93.0
1619575826.87283	93.0
1619575826.886214	96.0
1619575826.900294	94.0
1619575826.913937	94.0
1619575826.927153	94.0
1619575826.940821	96.0
1619575826.954421	95.0
1619575826.968352	95.0
1619575826.982344	95.0
1619575826.996824	95.0
1619575827.010693	94.0
1619575827.025592	95.0
1619575827.039602	95.0
1619575827.053617	95.0
1619575827.067651	96.0
1619575827.081582	95.0
1619575827.095487	95.0
1619575827.109159	94.0
1619575827.122721	95.0
1619575827.13666	95.0
1619575827.150733	94.0
1619575827.163943	94.0
1619575827.178163	94.0
1619575827.191179	95.0
1619575827.204763	95.0
1619575827.217929	94.0
1619575827.230635	94.0
1619575827.244378	95.0
1619575827.258139	96.0
1619575827.271623	95.0
1619575827.285152	94.0
1619575827.299352	95.0
1619575827.312853	96.0
1619575827.327165	95.0
1619575827.341611	96.0
1619575827.355578	96.0
1619575827.368588	96.0
1619575827.382095	96.0
1619575827.396296	95.0
1619575827.410173	95.0
1619575827.423683	96.0
1619575827.437242	96.0
1619575827.450272	96.0
1619575827.463651	95.0
1619575827.476715	96.0
1619575827.489313	96.0
1619575827.502918	95.0
1619575827.516495	96.0
1619575827.5309	96.0
1619575827.544021	96.0
1619575827.55759	95.0
1619575827.571901	97.0
1619575827.585321	96.0
1619575827.598904	98.0
1619575827.612981	98.0
1619575827.627386	96.0
1619575827.641447	97.0
1619575827.65619	98.0
1619575827.669897	98.0
1619575827.684085	97.0
1619575827.698044	96.0
1619575827.712591	97.0
1619575827.727666	96.0
1619575827.742756	95.0
1619575827.756683	96.0
1619575827.771695	97.0
1619575827.785718	96.0
1619575827.799267	95.0
1619575827.814255	96.0
1619575827.828225	95.0
1619575827.842608	95.0
1619575827.856351	95.0
1619575827.870766	96.0
1619575827.885317	96.0
1619575827.899414	94.0
1619575827.91342	95.0
1619575827.927319	97.0
1619575827.941335	95.0
1619575827.955471	96.0
1619575827.970461	97.0
1619575827.984419	96.0
1619575827.999532	97.0
1619575828.013356	96.0
1619575828.027428	98.0
1619575828.042341	98.0
1619575828.056424	97.0
1619575828.070562	98.0
1619575828.084475	97.0
1619575828.098426	98.0
1619575828.112397	97.0
